"record_id","headword","headword_raw","headword_normalized","homonym_number","classification","classification_family","translation_raw","sense_count","senses_json","example_count","examples_json","variant_count","variants_json","comments_raw","source_code","source_document","page_start","page_end","transcription_status","publication_status","validation_status"
"RD-000058","A’nahuí","A’nahuí","a'nahui","","Adv","Adv","1. Al mismo tiempo 2. igual","2","[""Al mismo tiempo"",""igual""]","1","[""A’nahuí ochérari, nacieron al mismo tiempo. Ne a’nahuí buyari, salieron al mismo tiempo. Ocuánica ne a'nahuí ju, los dos son iguales. A'nahuí ju, son iguales""]","0","[]","A’nahuí ochérari, nacieron al mismo tiempo. Ne a’nahuí buyari, salieron al mismo tiempo. Ocuánica ne a'nahuí ju, los dos son iguales. A'nahuí ju, son iguales","SRC-02","DICCIONARIO raramuri.pdf","6","6","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000059","A'najata","A'najata","a'najata","","Vt","Vt","Perseguir","1","[""Perseguir""]","1","[""Echi rijoy quimá chigósari, echijiti a'najátabo, ese hombre se robó una cobija; por eso lo perseguiremos. [pret.: a'najátari; fut.: a’najátama]""]","1","[""pret.: a'najátari; fut.: a’najátama""]","Echi rijoy quimá chigósari, echijiti a'najátabo, ese hombre se robó una cobija; por eso lo perseguiremos. [pret.: a'najátari; fut.: a’najátama]","SRC-02","DICCIONARIO raramuri.pdf","6","6","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000060","A'namótami","A'namótami","a'namotami","","Adv","Adv","Uno encima del otro","1","[""Uno encima del otro""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","6","6","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000061","A'namótana","A'namótana","a'namotana","","Vt","Vt","Poner (uno encima del otro)","1","[""Poner (uno encima del otro)""]","1","[""Napabuca a'namótana muchúhuari, las puso una encima de la otra, haciendo un montón.""]","0","[]","Napabuca a'namótana muchúhuari, las puso una encima de la otra, haciendo un montón.","SRC-02","DICCIONARIO raramuri.pdf","6","6","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000062","Anara","Anara","anara","","Vt","Vt","Igualar","1","[""Igualar""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","6","6","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000063","A'nayáhuari","A'nayáhuari","a'nayahuari","","S pl","S","Los que vivieron hace mucho, los espíritus de los antepasados","1","[""Los que vivieron hace mucho, los espíritus de los antepasados""]","1","[""Jaré rarámuri mayé mapu echi jaré qui'yá piréami pagótami arihuá abijí 'yena jena'í, echijiti maparí echi jaré rarámuri huabé majajáratami ju, rocogó niráa, aboni mayé mapu a'nayáhuari 'yena. Algunos tarahumaras creen que los espíritus de los que vivieron hace mucho todavía andan aquí, por eso, cuando ellos están muy asustados en la noche, creen que los espíritus de los antepasados andan por ahí.""]","0","[]","Jaré rarámuri mayé mapu echi jaré qui'yá piréami pagótami arihuá abijí 'yena jena'í, echijiti maparí echi jaré rarámuri huabé majajáratami ju, rocogó niráa, aboni mayé mapu a'nayáhuari 'yena. Algunos tarahumaras creen que los espíritus de los que vivieron hace mucho todavía andan aquí, por eso, cuando ellos están muy asustados en la noche, creen que los espíritus de los antepasados andan por ahí.","SRC-02","DICCIONARIO raramuri.pdf","6","6","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000064","Ané","Ané","ane","","Vt","Vt","Decir","1","[""Decir""]","1","[""Maparí echi rijoy ra'íchari tamí yuhua, binoy tamí aneri mapu binoy onorá ma mucuri, cuando ese hombre habló conmigo, me dijo que su papá ya había muerto.""]","0","[]","Maparí echi rijoy ra'íchari tamí yuhua, binoy tamí aneri mapu binoy onorá ma mucuri, cuando ese hombre habló conmigo, me dijo que su papá ya había muerto.","SRC-02","DICCIONARIO raramuri.pdf","6","6","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000065","Ané","Ané","ane","","Vi","Vi","Sonar fuerte","1","[""Sonar fuerte""]","1","[""Jeané, le dice esto Anebi, le hubiéramos dicho Anemi, le hubiera dicho""]","0","[]","Jeané, le dice esto Anebi, le hubiéramos dicho Anemi, le hubiera dicho","SRC-02","DICCIONARIO raramuri.pdf","6","6","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000066","Anérami","Anérami","anerami","","Pp","Pp","Le fue dicho","1","[""Le fue dicho""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","6","6","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
"RD-000067","Anérati","Anérati","anerati","","Vi","Vi","Fue dicho fue avisado (pasivo)","1","[""Fue dicho fue avisado (pasivo)""]","0","[]","0","[]","","SRC-02","DICCIONARIO raramuri.pdf","6","6","Transcrito","Autorizada para difusión","Pendiente de validación lingüística"
