headword_raw	headword_normalized	count
Birénapi	birenapi	1
Birepi	birepi	1
Birétari	biretari	1
Birichí	birichi	1
Birina	birina	1
Bisiruta	bisiruta	1
Bisó	biso	1
Bitéami	biteami	1
Biteba	biteba	1
Bitechi	bitechi	1
Bití	biti	1
Bitiba	bitiba	1
Bitichí	bitichi	1
Bitira	bitira	1
Bitórata	bitorata	1
Bitori	bitori	1
Bo'huá	bo'hua	1
Bo'hué	bo'hue	1
Bo'huí	bo'hui	1
Bo'ná	bo'na	1
Bo’ó	bo'o	1
Bo'obú	bo'obu	1
Bo'ona	bo'ona	1
Bo'orá	bo'ora	1
Bo'orusa	bo'orusa	1
Bo'osari	bo'osari	1
Bocháami	bochaami	1
Bocohuí	bocohui	1
Bocuirachi	bocuirachi	1
Boioní	boioni	1
Bóisi	boisi	1
Boní	boni	1
Bonirúami	boniruami	1
Bonorí	bonori	1
Boquírachi	boquirachi	1
Boriba	boriba	1
Borogá	boroga	1
Bosá	bosa	1
Bosahua	bosahua	1
Bosasa riruta	bosasa riruta	1
Bosohuá	bosohua	1
Botá	bota	1
Botana	botana	1
Botobú	botobu	1
Botuhuí	botuhui	1
Bu'huí	bu'hui	1
Bu'huiba	bu'huiba	1
Bu'huírasama	bu'huirasama	1
Buchí	buchi	1
Buchíami	buchiami	1
Buchihua	buchihua	1
Buchuhuíana	buchuhuiana	1
Bucura	bucura	1
Bucurí	bucuri	1
Bucuríhuami	bucurihuami	1
Buhuichí	buhuichi	1
Buhuigá	buhuiga	1
Bujé	buje	1
Buná	buna	1
Bunahua	bunahua	1
Buqué	buque	1
Burá	bura	1
Buré	bure	1
Bureri	bureri	1
Burira	burira	1
Burito	burito	1
Burú	buru	1
Burusáagá	burusaaga	1
Burúuri	buruuri	1
Busá	busa	1
Busé	buse	1
Busí	busi	1
Busugachi	busugachi	1
Busurébana	busurebana	1
Butuhuí	butuhui	1
Ca’huá	ca'hua	1
Ca'hué	ca'hue	1
Ca'marota	ca'marota	1
Ca'mí	ca'mi	1
Ca'mina	ca'mina	1
Ca'mocha	ca'mocha	1
Ca'moché	ca'moche	1
Ca'muchí	ca'muchi	1
Ca'muchita	ca'muchita	1
Ca'ó	ca'o	1
Ca’rara	ca'rara	1
Ca’rí	ca'ri	1
Ca’rina	ca'rina	1
Ca'yé	ca'ye	1
Ca'yénahua	ca'yenahua	1
Cáachi	caachi	1
Caba	caba	1
Cabí	cabi	1
Cabita	cabita	1
Cabítana	cabitana	1
Cabó	cabo	1
Cabóchuhua	cabochuhua	1
Cabóochi	caboochi	1
Cabora	cabora	1
Cabósari	cabosari	1
Cabú	cabu	1
Cachagá	cachaga	1
Cachígachí	cachigachi	1
Cachú	cachu	1
Cachuna	cachuna	1
Cahué	cahue	1
Cahuera	cahuera	1
Cahuíami	cahuiami	1
Cahúírachi	cahuirachi	1
Cahuisori	cahuisori	1
Cajé	caje	1
Cajera	cajera	1
Cajuí	cajui	1
Cajuina	cajuina	1
Cameri	cameri	1
Cami	cami	1
Camí	cami	1
Camina	camina	1
Campori	campori	1
Canajeca simí	canajeca simi	1
Canápuromí	canapuromi	1
Cánari	canari	1
Canira	canira	1
Canírata	canirata	1
Caniri	caniri	1
Capaneri	capaneri	1
Capíiri	capiiri	1
Capilata	capilata	1
Capira	capira	1
Capírahua	capirahua	1
Capírami	capirami	1
Capíramo	capiramo	1
Capirátana	capiratana	1
Capitani	capitani	1
Capó	capo	1
Capona	capona	1
Capora	capora	1
Capórahua	caporahua	1
Capósi	caposi	1
Capota	capota	1
Capótami	capotami	1
Cara	cara	1
Cárabá	caraba	1
Carabina	carabina	1
Cáraca	caraca	1
Carari	carari	1
Cárari	carari	1
Caréami	careami	1
Carí	cari	1
Cari ju	cari ju	1
Carihua	carihua	1
Carihué	carihue	1
Carihuérami	carihuerami	1
Carirá	carira	1
Carisí	carisi	1
Caruchi	caruchi	1
Carúmati	carumati	1
Carúsuhua ané	carusuhua ane	1
